,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000100307,3745.10721500752,-5.44360097514399,0.533953328380625,-10.1949003514097,2.08958710813242e-24,4.08631818914721e-21
ENSG00000143476,2254.49636960464,7.62323769867643,0.75207161147988,10.1363189120726,3.81194199488811e-24,7.0159913575326e-21
ENSG00000136231,684.971089802407,7.31682583938736,0.733030272126471,9.98161483585357,1.83456401934829e-23,3.18898186674381e-20
ENSG00000223361,438.47515526462,6.4142522378741,0.645002793416012,9.94453404442397,2.66417889642885e-23,4.16797467451811e-20
ENSG00000131398,914.503753935995,-9.81178270721189,0.986575281634351,-9.94529549834026,2.64388180450358e-23,4.16797467451811e-20
ENSG00000260418,410.0529173127,-7.22270602473169,0.729212314685951,-9.90480533483898,3.96741923523779e-23,5.911265735778821e-20
ENSG00000154133,680.43432864567,-10.4362241337704,1.058180786746,-9.86242073612271,6.05711461059198e-23,8.2400460456875e-20
ENSG00000074855,1194.30588656731,-6.43678619878701,0.65253732595936,-9.86424215553287,5.94819156996301e-23,8.2400460456875e-20
ENSG00000149591,1393.32517221104,-5.67593382807151,0.577691605861932,-9.82519699174591,8.77023949813527e-23,1.14338343190481e-19
ENSG00000163431,595.714288088151,-5.98354436562772,0.611579985246829,-9.78374784978095,1.32221699343535e-22,1.65483390030394e-19
ENSG00000262877,1733.1619966872,-7.29608795667024,0.746842837157366,-9.76924139011713,1.52590315011221e-22,1.8363070639946502e-19
ENSG00000182700,1897.90094281203,-4.91792194125641,0.505488084395046,-9.72905612036739,2.26686557203721e-22,2.62696136605453e-19
ENSG00000214402,1349.55286661897,-10.9310406310716,1.13197890290229,-9.65657628693026,4.61013976470329e-22,5.15166653920719e-19
ENSG00000065328,1506.3313886851,8.10405794307706,0.843859396463602,9.60356426323993,7.72266693236237e-22,8.33222502229953e-19
ENSG00000198840,190980.619543118,-8.00149869043002,0.833678154811831,-9.59782698424672,8.16475652535497e-22,8.515568897394381e-19
ENSG00000248527,100135.277861664,-6.11110760727311,0.637073130400386,-9.59247426340587,8.59975244940294e-22,8.67992433514092e-19
ENSG00000198888,1018758.13529583,-6.82247535831833,0.71354668502716,-9.56135807436152,1.1622145424357701e-21,1.13639158807103e-18
ENSG00000198626,1787.28453567267,-6.37268370213039,0.670729653105511,-9.5011211635337,2.0764249127140902e-21,1.96876542708822e-18
ENSG00000099822,2775.73655100015,-9.75083306963633,1.03206486727798,-9.44788780123252,3.45736668560535e-21,3.1816925360560498e-18
ENSG00000198763,807201.865594443,-6.96068232030665,0.737514122930324,-9.43803257983747,3.7984426462549204e-21,3.3397129820750297e-18
ENSG00000158164,3615.71659804938,9.35306082051101,0.991123958838041,9.43682244497067,3.84255384814795e-21,3.3397129820750297e-18
ENSG00000139146,3440.16968488169,5.82386864478184,0.621001223365749,9.37819190309674,6.7113713185945404e-21,5.67546208614877e-18
ENSG00000129467,312.527215833152,-8.3896577836349,0.901255278012391,-9.30885842037705,1.2921362482922901e-20,1.03665771981583e-17
ENSG00000154146,18081.0298990664,-9.62037938052631,1.03332696226162,-9.31010196372929,1.27709689752345e-20,1.03665771981583e-17
ENSG00000069122,1063.57271837773,-9.91216398602223,1.06906625122498,-9.27179580747633,1.8303780533539702e-20,1.43176747278481e-17
ENSG00000149657,1697.21528603497,-5.00217127426253,0.540577650416948,-9.25338158246897,2.17500310897086e-20,1.65984566528267e-17
ENSG00000073792,1115.63955165218,5.30725446005741,0.574534173666189,9.23749135093397,2.5234395858344402e-20,1.87990240955176e-17
ENSG00000228253,118185.163595283,-6.44843560902144,0.700126678679901,-9.21038407103705,3.2496009535644604e-20,2.36457591246694e-17
ENSG00000117122,700.999822613574,7.05735615176876,0.767557540788503,9.19456298288571,3.76521956858619e-20,2.67749897912484e-17
ENSG00000180332,663.452641890322,-9.59852134111128,1.05009835830523,-9.14059265515137,6.21110015407021e-20,4.31864694934895e-17
ENSG00000054179,649.936062801844,-8.25295392498007,0.90488660317502,-9.12042889796636,7.48276052699516e-20,5.08974117672069e-17
ENSG00000289017,211.758186252994,6.36983982557172,0.699138749790716,9.11098094259331,8.16404237078713e-20,5.43499407956507e-17
ENSG00000198886,1774056.23635045,-6.22771298808681,0.686281526788285,-9.07457471168102,1.1412230186191301e-19,7.43910979782791e-17
ENSG00000131634,429.880057543549,-7.71430751665371,0.850676581307105,-9.06843762502585,1.20735755167372e-19,7.70959396618757e-17
