Tumor_SRR30510137,Tumor_SRR30510151,Tumor_SRR30510181,Normal_SRR28602760,Normal_SRR28602761,Normal_SRR28602767
0,0,0,0,0,0
3907,2106,1198,1723,4746,10219
0,0,0,0,0,0
10607,4957,326,2347,2893,1738
0,0,0,0,0,0
2,4,0,0,2,0
2913,865,100,2031,944,341
873,197,173,1337,1191,704
2,0,0,0,0,0
4,0,4,0,0,0
30,28,20,92,57,50
0,0,0,0,0,0
0,0,0,0,0,0
24,38,25,5,10,13
7075,4884,4211,2235,1867,1662
108,1027,221,3240,2468,1600
1198,881,987,1056,924,1101
30,36,7,32,22,8
0,0,0,0,0,0
0,2,0,14,18,62
1,1,0,0,0,0
372,4,2892,489,756,2559
27,25,0,0,0,2
2,0,0,32,109,177
3461,1387,229,714,598,879
68,17,618,1264,871,367
2,0,0,0,0,0
2,2,0,0,0,0
5,6,0,9,9,2
2,8,1,0,2,2
0,0,0,0,0,0
0,6,0,0,0,0
0,0,0,9,2,7
0,0,0,0,0,0
3,2,0,9,8,2
0,0,0,0,0,0
69,19,8,5,30,64
18,7,0,2,0,0
0,0,0,0,0,0
1096,584,709,1899,3604,4867
2,2,0,2,2,2
0,0,0,0,0,0
5154,2331,1017,1928,1447,912
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,4,4,9,13,5
29,8,0,0,2,0
10082,2813,0,4554,4854,1635
0,0,0,0,2,0
0,2,0,0,0,0
102,18,71,6,2,8
0,0,0,19,7,17
0,0,0,0,0,0
9424,1196,525,140,194,108
8,6,0,8,0,0
4,18,0,33,41,7
0,0,0,4,5,0
0,0,0,0,0,0
16,12,5,2,2,6
4,0,0,0,0,0
0,0,0,0,2,0
0,0,0,0,0,2
0,0,0,0,0,0
54,52,30,793,333,37
259,99,31,286,293,322
3154,3072,1440,2777,3301,3519
358,199,69,81,158,127
15,14,0,117,404,62
21,12,12,31,41,40
6,0,2,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,2,0
11203,7024,1674,916,888,1745
75,23,14,34,20,14
5,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
16,45,5,12,25,8
0,0,0,2,0,0
4438,1582,794,261,242,457
371,250,178,563,437,313
0,0,0,0,0,0
0,0,0,0,0,0
1200,570,50,121,60,37
0,0,0,11,17,0
12,2,0,2,0,2
0,0,0,0,2,0
3719,3076,1129,1506,2392,3090
23,10,0,14,4,4
2038,1608,331,908,1212,1458
53,17,0,13,8,0
0,0,0,0,0,0
3374,1996,467,1423,1535,1563
0,83,0,7519,2494,317
20,21,0,64,67,20
19,13,8,6,0,8
0,0,0,4,6,0
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,9,5,8
6,0,17,0,0,0
1,4,0,0,0,0
0,2,0,0,0,0
4467,2245,1021,1139,1366,1788
6400,4573,1977,427,446,591
0,0,2,7,5,0
8649,6794,2313,649,833,1087
8782,5624,2905,2065,2634,3160
0,2,0,0,0,0
6757,9390,1916,1050,855,604
0,0,0,0,0,0
6694,3494,1301,2230,4861,5309
0,0,0,0,1,0
866,320,688,572,906,715
2,2,4,5,0,0
0,0,0,0,4,1
6,2,0,0,0,2
